Банк;Кредиты физических лиц;Кредиты юридических лиц;Всего активов;В т. ч. в иностранной валюте
Банки с государственной долей;;;;
Приватбанк;19722838,58;34968792,87;220017620,6;29932597,89
Укрэксимбанк;201773,9972;58224789,9;160303832,3;98358042,74
Ощадбанк;2911062,801;63283431,5;210099278,1;89206969,7
Укргазбанк;1193905,44;19204731,52;53681057,71;23894801,73
УБРР;0;0;119397,6569;128,06718
Расчетный центр;0;0;193284,1726;125,35483
Итого по банкам с государственной долей;24029580,82;175681745,8;644414470,5;241392665,5
Банки иностранных банковских групп;;;;
Проминвестбанк;34650,74832;27121327,2;34323896,47;25257514,56
UniCredit Bank (Укрсоцбанк);20786527,38;2666078,643;41800096,86;17776850,74
Райффайзен Банк Аваль;5143234,634;22860731,8;55999734,51;12369739,94
ВТБ Банк;464633,0593;12219421,27;20640072,15;10239220,3
Кредобанк;2190859,444;3403737,029;11004497,62;4395339,047
VS Bank (Фольксбанк);437365,1666;969817,477;3909280,154;2224638,024
Марфин банк;505607,2854;923038,2945;3538747,347;1358142,235
УкрСиббанк;4556904,741;16121707,49;45367424,58;19897076,42
Идея Банк;1947831,274;477384,5144;3356235,459;374532,7512
Правэкс-банк;373169,4607;609079,2779;4403518,359;1116420,319
Креди Агриколь банк;1944341,283;13560996,16;29895180,3;13042788,56
Пиреус Банк;88638,54474;983363,6983;3328652,166;1816555,509
Альфа-Банк;5240163,707;20389334,6;38953914,17;22792919,67
ИНГ Банк;29173,48291;12141642,54;17358490,67;9573328,531
ОТП Банк;4666297,146;10545195,73;24831464,2;7538869,87
Ситибанк;66299,76874;4732365,286;19459670,36;3691554,105
ПроКредит Банк;191296,9882;7707131,289;12117205,4;4237398,75
Сбербанк России;355452,7371;40038331,86;48355810,8;37401473,42
Фортуна-банк;339579,9947;477554,389;1752468,326;1077112,372
Forward Bank (Русский Стандарт);1179668,579;0;1938378,53;88313,63552
Кредит Европа Банк;16982,77718;1075043,259;2242985,537;1579275,454
Дойче банк ДБУ;0;210789,0596;2466170,373;885554,384
СЕБ корпоративный банк;0;1198473,695;1996472,563;813873,5967
Кредитвест Банк;1084,94792;841789,8318;1170614,441;599566,3173
БТА банк;26714,96397;425320,6375;2192160,527;229520,5157
Итого по банкам  иностранных банковских групп;50586478,12;201699655;432403141,9;200377579
Банки с приватным капиталом;;;;
ПУМБ;3432130,635;21323624,25;44552607,75;21743752,85
Банк Пивденный;259194,141;13331375,76;20674604,98;11797964,05
Мегабанк;585892,9955;7226080,705;9117165,958;4761274,728
Кредит Днепр;213298,365;4286376,825;8279153,335;4061844,298
Диамантбанк;59032,27029;3526029,782;7414511,611;3443444,096
Банк Восток;23753,7904;4933763,198;7764880,282;3642883,228
Таскомбанк;258223,9653;5346728,067;8128413,962;3340934,015
Международный инвестиционный банк;14848,46554;2105492,571;6892807,935;3644834,96
Универсал Банк;1777060,382;1543564,226;5093902,239;2912515,918
Банк инвестиций и сбережений;4145,41771;4138940,791;4580483,785;3380823,183
А-Банк;2147346,84;264146,796;3256759,959;433139,1186
Клиринговый дом;30862,99796;792649,2754;2843329,468;5130086,15
Аркада;354240,802;578211,1474;1919543,711;6040,44187
Полтава-банк;48163,18955;614600,3592;1836538,77;170274,0838
Мисто банк;467489,8022;922208,485;1798579,103;413130,7087
Банк Глобус;52887,16602;764742,6601;1498814,85;347003,2983
Банк Авангард;0;44265,5402;1332939,883;395612,9867
Банк Грант;23377,84706;800026,5846;1214800,602;391566,1366
Банк Новый;1519,53619;428268,5654;1316768,528;457250,2312
Коминвестбанк;51788,55239;639673,7792;1102925,283;470936,4485
Мотор-Банк;3735,9765;129506,8073;1199800,604;807976,5861
Банк Сич;5081,07691;552426,9392;1128597,13;411419,0139
Асвио банк;1661,61346;758318,4099;973962,4855;133894,0176
БАНК 3/4;187506,2116;191027,8725;814049,8297;110051,434
Европромбанк;0;750992,5726;779645,0389;355750,8489
КристалБанк;15247,33023;163233,7457;861261,6531;44508,35701
Радабанк;10357,15839;429297,2224;819391,8541;135438,1607
Юнекс банк;21275,72631;483357,8193;764749,3015;154019,4167
Банк Богуслав;3338,81689;432207,1157;780581,6294;122049,8465
Финбанк;0;628810,4632;650906,2748;324820,2472
МетаБанк;19677,1876;219849,9065;623091,6615;121001,2679
Украинский капитал;2577,58039;215691,3715;573193,4945;127771,9989
Укрстройинвестбанк;6642,93841;279253,4211;504199,5438;155756,0748
Окси банк;19760,55557;299068,1632;576534,8731;244287,8141
Айбокс Банк (Агрокомбанк);56273,15082;267177,9804;633235,8457;81541,66998
ДИВИ Банк;46115,55836;123135,765;467495,7182;300867,1108
Поликомбанк;3240,60529;294334,1664;552723,7401;91999,49684
Аккордбанк;5463,77859;293436,3761;451863,0704;245436,7844
ПФБ;7391,05816;195822,657;407432,0689;65639,50781
Конкорд;1612,54855;190980,6576;387416,6499;44177,6674
Траст-капитал;1986,19701;180692,2219;347035,2963;68284,87334
Вернум банк;2163,34666;226094,9659;347572,9883;31118,11367
РВС Банк;0;12560,30172;326141,6092;395,97681
Банк Альянс;148,71646;184183,5263;312971,4574;53032,13713
Фамильный;825,34805;23034,12242;290926,864;138996,0652
Апекс-банк;846,65767;99331,05674;210978,6834;91205,89369
Вектор банк;11527,98862;174841,7043;203833,5876;1343,32649
Земельный капитал;1447,20423;107003,9511;219351,5626;17663,69132
Альтбанк (Неос банк);0;0;409661,7732;33869,80474
Финансовый партнер;893,85107;33579,07709;163394,7602;44130,48403
Банк Портал;14205,50745;123518,1703;161284,2134;4443,43787
Кредит оптима банк;51653,86416;19257,13601;138479,013;2206,10083
Альпари банк;0;5876,40366;129440,616;850,13844
Гефест;6086,69169;72954;81340,57141;0
Банк Центр;3488,3207;144813,4523;217193,1374;27385,96198
Агропросперис Банк (АСТРА БАНК);0;75231,62863;316317,3585;87144,44382
коммерческий индустриальный банк;2504,27698;134310,864;309722,5526;37108,15854
Первый Инвестиционный Банк;7282,82555;777588,1905;1282961,391;352298,7627
Банк Львов;73126,14986;687354,2359;1470646,788;650138,3767
Экспресс-Банк;54182,30357;501387,1204;1408493,494;277543,5258
Индустриалбанк;32303,28064;2048575,43;2783019,018;1270155,487
Регион-банк;17378,97492;121260,7358;333150,8625;27985,55854
Итого по банкам с приватным капиталом;10504267,54;86262147,09;166033582,1;78241018,57
Итого по платежеспособным банкам;85120326,47;463643547,9;1242851194;520011263,1
Неплатежеспособные банки;;;;
Родовид банк;4700,45673;0;8152477,07;70312,04649
НК Банк;209,19959;187855,1916;248964,9711;2550,56473
УкрСиббанк;1347,92147;1254435,192;1489266,043;561630,1476
Платинум банк;1965323,028;2621850,052;7099092,342;1782027,955
Финансовая Инициатива;226,33375;11343141,59;14346740,77;1443004,611
Юнисон;25993,09767;342662,3645;543845,4125;203062,2491
Инвестбанк;;;;
Итого по неплатежеспособным банкам;1997800,037;15749944,39;31880386,61;4062587,573
ИТОГО;87118126,51;479393492,3;1274731581;524073850,7
